[2024-09-22 13:34:34,258: INFO/MainProcess] beat: Starting...
[2024-09-22 13:50:09,915: INFO/MainProcess] beat: Starting...
[2024-09-22 13:53:01,211: INFO/MainProcess] beat: Starting...
[2024-09-22 14:22:56,069: INFO/MainProcess] beat: Starting...
[2024-09-22 14:39:44,537: INFO/MainProcess] beat: Starting...
[2024-09-22 14:40:00,032: INFO/MainProcess] Scheduler: Sending due task simulation-queues (app.tasks.celery_tasks.run_simulation_task)
[2024-09-22 14:44:00,037: INFO/MainProcess] Scheduler: Sending due task simulation-queues (app.tasks.celery_tasks.run_simulation_task)
[2024-09-22 14:45:35,551: INFO/MainProcess] beat: Starting...
[2024-09-22 14:58:46,237: INFO/MainProcess] beat: Starting...
[2024-09-22 23:53:06,285: INFO/MainProcess] beat: Starting...
[2024-09-23 00:16:50,776: INFO/MainProcess] beat: Starting...
